,actualDelay,areaId,areaId1,areaId2,areaId3,atStop,busStop,congestion,coordinates,datetime,day,dayOfWeek,delay,delay_interval,directionLine,distanceCovered,ellapsedTime,event_around,event_around_bool,gridID,hour,id,journeyPatternId,justLeftStop,justStopped,latitude,lineId,longitude,minute,month,patternLine,relevant_tweet,relevant_tweet_bool,vehicleId,vehicleSpeed,year
VW80PHcBXOWlsYmdMR_D,0.0,17928.0,17.0,279.0,4481.0,0.0,82.0,0.0,"[-6.274193, 53.360795]",2017-07-03 16:55:45,3.0,2.0,2.0,4.0,0,0.058133650313545664,33000.0,no,0.0,"152,111",16.0,595a71e0e45b4b17bd0389e1,01220001,0.0,0.0,53.360795,122,-6.274193,55.0,7.0,0122,no,0.0,33440.0,0.0,2017.0
mW80PHcBXOWlsYmdMR_D,0.0,4450.0,17.0,277.0,4450.0,0.0,16.0,0.0,"[-6.30926, 53.365236]",2017-07-03 16:55:50,3.0,2.0,47.0,4.0,0,0.07359559420099343,35000.0,no,0.0,"140,114",16.0,595a71e0e45b4b17bd038a28,01220001,1.0,0.0,53.365236,122,-6.30926,55.0,7.0,0122,no,0.0,44138.0,0.0,2017.0
qG80PHcBXOWlsYmdMR_D,20.0,73069.0,17.0,285.0,4566.0,1.0,271.0,0.0,"[-6.259525, 53.34859]",2017-07-03 16:55:51,3.0,2.0,431.0,7.0,0,0.0,34000.0,no,0.0,"157,104",16.0,595a71e0e45b4b17bd038a37,01220001,0.0,0.0,53.34859,122,-6.259525,55.0,7.0,0122,no,0.0,33594.0,0.0,2017.0
w280PHcBXOWlsYmdMR_D,-26.0,15185.0,14.0,236.0,3796.0,0.0,1288.0,0.0,"[-6.269605, 53.332405]",2017-07-03 16:55:52,3.0,2.0,642.0,8.0,0,0.13024283148251853,35000.0,no,0.0,"153,95",16.0,595a71e0e45b4b17bd038a54,01220001,0.0,0.0,53.332405,122,-6.269605,55.0,7.0,0122,no,0.0,33446.0,0.0,2017.0
Q280PHcBXOWlsYmdMSDE,-21.0,18265.0,17.0,285.0,4566.0,0.0,271.0,0.0,"[-6.260391, 53.350539]",2017-07-03 16:56:01,3.0,2.0,-85.0,3.0,0,0.12371991618318272,32000.0,no,0.0,"156,106",16.0,595a71e0e45b4b17bd038ad9,01220001,0.0,0.0,53.350539,122,-6.260391,56.0,7.0,0122,no,0.0,33564.0,0.0,2017.0
7G80PHcBXOWlsYmdMSDE,0.0,15179.0,14.0,236.0,3794.0,0.0,1362.0,0.0,"[-6.277484, 53.331841]",2017-07-03 16:56:11,3.0,2.0,-83.0,3.0,0,0.0,0.0,no,0.0,"151,95",16.0,595a71e0e45b4b17bd038b8b,01220001,0.0,0.0,53.331841,122,-6.277484,56.0,7.0,0122,no,0.0,44133.0,0.0,2017.0
Y280PHcBXOWlsYmdMSHE,0.0,71737.0,17.0,279.0,4483.0,0.0,82.0,0.0,"[-6.272022, 53.360754]",2017-07-03 16:56:18,3.0,2.0,-20.0,4.0,0,0.0,0.0,no,0.0,"152,111",16.0,595a71e0e45b4b17bd038c02,01220001,0.0,0.0,53.360754,122,-6.272022,56.0,7.0,0122,no,0.0,33440.0,0.0,2017.0
qG80PHcBXOWlsYmdMSHE,0.0,4452.0,17.0,277.0,4452.0,0.0,16.0,0.0,"[-6.308377, 53.364917]",2017-07-03 16:56:22,3.0,2.0,67.0,5.0,0,0.0,0.0,no,0.0,"140,114",16.0,595a71e0e45b4b17bd038c47,01220001,0.0,0.0,53.364917,122,-6.308377,56.0,7.0,0122,no,0.0,44138.0,0.0,2017.0
r280PHcBXOWlsYmdMSHE,0.0,73069.0,17.0,285.0,4566.0,1.0,271.0,0.0,"[-6.259525, 53.34859]",2017-07-03 16:56:22,3.0,2.0,451.0,7.0,0,0.0,0.0,no,0.0,"157,104",16.0,595a71e0e45b4b17bd038c4e,01220001,0.0,0.0,53.34859,122,-6.259525,56.0,7.0,0122,no,0.0,33594.0,0.0,2017.0
yW80PHcBXOWlsYmdMSHE,0.0,15185.0,14.0,236.0,3796.0,0.0,1289.0,0.0,"[-6.27052, 53.332357]",2017-07-03 16:56:23,3.0,2.0,642.0,8.0,0,0.0,0.0,no,0.0,"153,95",16.0,595a71e0e45b4b17bd038c68,01220001,0.0,0.0,53.332357,122,-6.27052,56.0,7.0,0122,no,0.0,33446.0,0.0,2017.0
zm80PHcBXOWlsYmdMSHE,0.0,73070.0,17.0,285.0,4566.0,0.0,271.0,0.0,"[-6.260225, 53.350167]",2017-07-03 16:56:23,3.0,2.0,-85.0,3.0,0,0.0,0.0,no,0.0,"156,105",16.0,595a71e0e45b4b17bd038c6d,01220001,0.0,0.0,53.350167,122,-6.260225,56.0,7.0,0122,no,0.0,33564.0,0.0,2017.0
ym80PHcBXOWlsYmdMSLF,0.0,71737.0,17.0,279.0,4483.0,1.0,82.0,0.0,"[-6.271677, 53.360731]",2017-07-03 16:56:26,3.0,2.0,-20.0,4.0,0,0.023036031381466798,8000.0,no,0.0,"152,111",16.0,595a71e1e45b4b17bd038d69,01220001,0.0,1.0,53.360731,122,-6.271677,56.0,7.0,0122,no,0.0,33440.0,0.0,2017.0
z280PHcBXOWlsYmdMSLF,-32.0,15177.0,14.0,236.0,3794.0,0.0,1362.0,0.0,"[-6.27983, 53.331322]",2017-07-03 16:56:25,3.0,2.0,-115.0,3.0,0,0.1661290325097632,14000.0,no,0.0,"150,95",16.0,595a71e1e45b4b17bd038d6e,01220001,0.0,0.0,53.331322,122,-6.27983,56.0,7.0,0122,no,0.0,44133.0,0.0,2017.0
nm80PHcBXOWlsYmdMiOl,0.0,4452.0,17.0,277.0,4452.0,0.0,16.0,0.0,"[-6.306799, 53.365861]",2017-07-03 16:56:28,3.0,2.0,67.0,5.0,0,0.1482592249124828,6000.0,no,0.0,"141,114",16.0,595a71e1e45b4b17bd038e45,01220001,0.0,0.0,53.365861,122,-6.306799,56.0,7.0,0122,no,0.0,44138.0,0.0,2017.0
um80PHcBXOWlsYmdMiOl,20.0,73069.0,17.0,285.0,4566.0,1.0,271.0,0.0,"[-6.259525, 53.34859]",2017-07-03 16:56:30,3.0,2.0,471.0,7.0,0,0.0,8000.0,no,0.0,"157,104",16.0,595a71e1e45b4b17bd038e62,01220001,0.0,0.0,53.34859,122,-6.259525,56.0,7.0,0122,no,0.0,33594.0,0.0,2017.0
ym80PHcBXOWlsYmdMiOl,-17.0,15185.0,14.0,236.0,3796.0,0.0,1289.0,0.0,"[-6.27247, 53.332164]",2017-07-03 16:56:31,3.0,2.0,625.0,8.0,0,0.13125159011722803,8000.0,no,0.0,"152,95",16.0,595a71e1e45b4b17bd038e72,01220001,0.0,0.0,53.332164,122,-6.27247,56.0,7.0,0122,no,0.0,33446.0,0.0,2017.0
6G80PHcBXOWlsYmdMibb,0.0,18261.0,17.0,285.0,4565.0,1.0,1282.0,0.0,"[-6.264586, 53.342398]",2017-07-03 19:14:29,3.0,2.0,-79.0,3.0,0,0.0,0.0,no,0.0,"155,101",19.0,595a8999e45b4b17bd065d35,01220001,0.0,0.0,53.342398,122,-6.264586,14.0,7.0,0122,no,0.0,33446.0,0.0,2017.0
