,actualDelay,areaId,areaId1,areaId2,areaId3,atStop,busStop,congestion,coordinates,datetime,day,dayOfWeek,delay,delay_interval,directionLine,distanceCovered,ellapsedTime,event_around,event_around_bool,gridID,hour,id,journeyPatternId,justLeftStop,justStopped,latitude,lineId,longitude,minute,month,patternLine,relevant_tweet,relevant_tweet_bool,vehicleId,vehicleSpeed,year
ScHpPHcBXOWlsYmdvTkq,0.0,961.0,14.0,240.0,961.0,0.0,3503.0,0.0,"[-6.218878, 53.245725]",2017-11-17 10:04:29,17.0,6.0,8.0,4.0,0,0.484595598117859,47000.0,no,0.0,"170,47",10.0,5a0eb44ae45b4b356e941acd,044B0001,0.0,0.0,53.245725,44,-6.218878,4.0,11.0,044B,no,0.0,28051.0,37.0,2017.0
eMHpPHcBXOWlsYmdv0Dc,0.0,961.0,14.0,240.0,961.0,0.0,3504.0,0.0,"[-6.221628, 53.244344]",2017-11-17 10:05:06,17.0,6.0,8.0,4.0,0,0.13498821852494156,20000.0,no,0.0,"169,46",10.0,5a0eb470e45b4b356e941e36,044B0001,0.0,0.0,53.244344,44,-6.221628,5.0,11.0,044B,no,0.0,28051.0,24.0,2017.0
UsHpPHcBXOWlsYmdv0Ld,-17.0,961.0,14.0,240.0,961.0,0.0,3504.0,0.0,"[-6.222057, 53.242813]",2017-11-17 10:05:24,17.0,6.0,-9.0,4.0,0,0.1726161491543007,18000.0,no,0.0,"169,46",10.0,5a0eb47ee45b4b356e942027,044B0001,0.0,0.0,53.242813,44,-6.222057,5.0,11.0,044B,no,0.0,28051.0,34.0,2017.0
f8HpPHcBXOWlsYmdwElV,0.0,961.0,14.0,240.0,961.0,0.0,3505.0,0.0,"[-6.22228, 53.240344]",2017-11-17 10:06:03,17.0,6.0,-9.0,4.0,0,0.1495832888956056,10000.0,no,0.0,"169,44",10.0,5a0eb4aae45b4b356e9423a0,044B0001,0.0,0.0,53.240344,44,-6.22228,6.0,11.0,044B,no,0.0,28051.0,53.0,2017.0
8sHpPHcBXOWlsYmdwFDV,0.0,239.0,14.0,239.0,239.0,0.0,3506.0,0.0,"[-6.22183, 53.236145]",2017-11-17 10:06:43,17.0,6.0,-9.0,4.0,0,0.2664734304267967,19000.0,no,0.0,"169,42",10.0,5a0eb4cfe45b4b356e942770,044B0001,0.0,0.0,53.236145,44,-6.22183,6.0,11.0,044B,no,0.0,28051.0,50.0,2017.0
V8HpPHcBXOWlsYmdwVha,0.0,239.0,14.0,239.0,239.0,0.0,3506.0,0.0,"[-6.221182, 53.233899]",2017-11-17 10:07:24,17.0,6.0,-9.0,4.0,0,0.11052546275288326,21000.0,no,0.0,"169,41",10.0,5a0eb4f9e45b4b356e942b1d,044B0001,0.0,0.0,53.233899,44,-6.221182,7.0,11.0,044B,no,0.0,28051.0,18.0,2017.0
xcHpPHcBXOWlsYmdwmu6,0.0,239.0,14.0,239.0,239.0,0.0,3508.0,0.0,"[-6.219885, 53.222331]",2017-11-17 10:09:43,17.0,6.0,-9.0,4.0,0,0.24781494346508917,18000.0,no,0.0,"170,34",10.0,5a0eb582e45b4b356e943762,044B0001,0.0,0.0,53.222331,44,-6.219885,9.0,11.0,044B,no,0.0,28051.0,49.0,2017.0
wMHpPHcBXOWlsYmdwm26,0.0,239.0,14.0,239.0,239.0,0.0,3508.0,0.0,"[-6.219635, 53.221611]",2017-11-17 10:10:05,17.0,6.0,-9.0,4.0,0,0.08177204448352368,22000.0,no,0.0,"170,34",10.0,5a0eb599e45b4b356e94397c,044B0001,0.0,0.0,53.221611,44,-6.219635,10.0,11.0,044B,no,0.0,28051.0,13.0,2017.0
C8HpPHcBXOWlsYmd4tCw,0.0,239.0,14.0,239.0,239.0,0.0,3506.0,0.0,"[-6.221551, 53.233347]",2017-11-17 08:05:10,17.0,6.0,-154.0,3.0,0,0.11839523089669321,20000.0,no,0.0,"169,40",8.0,5a0e9852e45b4b356e916950,044B0001,0.0,0.0,53.233347,44,-6.221551,5.0,11.0,044B,no,0.0,28051.0,21.0,2017.0
gMHpPHcBXOWlsYmd49zC,0.0,239.0,14.0,239.0,239.0,0.0,3507.0,0.0,"[-6.221008, 53.230847]",2017-11-17 08:05:50,17.0,6.0,-137.0,3.0,0,0.21405492596169115,20000.0,no,0.0,"169,39",8.0,5a0e9884e45b4b356e916e5e,044B0001,0.0,0.0,53.230847,44,-6.221008,5.0,11.0,044B,no,0.0,28051.0,38.0,2017.0
EcHpPHcBXOWlsYmd5ON-,-21.0,239.0,14.0,239.0,239.0,0.0,3508.0,0.0,"[-6.220578, 53.22506]",2017-11-17 08:06:54,17.0,6.0,-158.0,3.0,0,0.22576387826460276,24000.0,no,0.0,"170,36",8.0,5a0e98bde45b4b356e917571,044B0001,0.0,0.0,53.22506,44,-6.220578,6.0,11.0,044B,no,0.0,28051.0,33.0,2017.0
-cHpPHcBXOWlsYmd5eg3,0.0,239.0,14.0,239.0,239.0,0.0,3508.0,0.0,"[-6.219982, 53.223066]",2017-11-17 08:07:10,17.0,6.0,-158.0,3.0,0,0.22524466218627692,16000.0,no,0.0,"170,35",8.0,5a0e98cbe45b4b356e9177a2,044B0001,0.0,0.0,53.223066,44,-6.219982,7.0,11.0,044B,no,0.0,28051.0,50.0,2017.0
wcHpPHcBXOWlsYmd5eo4,0.0,239.0,14.0,239.0,239.0,0.0,3508.0,0.0,"[-6.219729, 53.221819]",2017-11-17 08:07:30,17.0,6.0,-158.0,3.0,0,0.1396792965845463,20000.0,no,0.0,"170,34",8.0,5a0e98dfe45b4b356e917985,044B0001,0.0,0.0,53.221819,44,-6.219729,7.0,11.0,044B,no,0.0,28051.0,25.0,2017.0
KMPqPHcBXOWlsYmdEwwB,17.0,239.0,14.0,239.0,239.0,0.0,3510.0,0.0,"[-6.225499, 53.221014]",2017-11-17 08:08:42,17.0,6.0,-141.0,3.0,0,0.39687807377054857,48000.0,no,0.0,"168,33",8.0,5a0e9927e45b4b356e91824d,044B0001,0.0,0.0,53.221014,44,-6.225499,8.0,11.0,044B,no,0.0,28051.0,29.0,2017.0
8MPqPHcBXOWlsYmdFBFn,-18.0,239.0,14.0,239.0,239.0,0.0,3512.0,0.0,"[-6.228809, 53.220208]",2017-11-17 08:09:02,17.0,6.0,-159.0,3.0,0,0.23789542960764148,20000.0,no,0.0,"167,33",8.0,5a0e993ae45b4b356e918454,044B0001,0.0,0.0,53.220208,44,-6.228809,9.0,11.0,044B,no,0.0,28051.0,42.0,2017.0
FcPqPHcBXOWlsYmdFRwN,-22.0,237.0,14.0,237.0,237.0,0.0,3512.0,0.0,"[-6.232507, 53.220954]",2017-11-17 08:09:22,17.0,6.0,-181.0,2.0,0,0.2597982696972741,20000.0,no,0.0,"166,33",8.0,5a0e994ce45b4b356e9186e6,044B0001,0.0,0.0,53.220954,44,-6.232507,9.0,11.0,044B,no,0.0,28051.0,46.0,2017.0
OMPqPHcBXOWlsYmdFR4O,0.0,237.0,14.0,237.0,237.0,0.0,3512.0,0.0,"[-6.234709, 53.221671]",2017-11-17 08:09:42,17.0,6.0,-181.0,2.0,0,0.16687583028035197,20000.0,no,0.0,"165,34",8.0,5a0e9965e45b4b356e918933,044B0001,0.0,0.0,53.221671,44,-6.234709,9.0,11.0,044B,no,0.0,28051.0,30.0,2017.0
